Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2016-10-19 14:01:00	626.44	626.44	626.44	626.44	1.57	982.46	626.44
2016-10-19 14:02:00	627.44	627.49	626	626	40.61	25429.83	626.23
2016-10-19 14:03:00	625.7	625.7	625.7	625.7	0.08	50.16	625.7
2016-10-19 14:04:00	627.28	627.38	627.28	627.38	0.87	544.06	627.34
2016-10-19 14:05:00	627.25	627.25	627.25	627.25	1.78	1116.51	627.25
2016-10-19 14:06:00	626.97	627.01	626.96	626.96	3.98	2497.88	626.97
2016-10-19 14:07:00	626.17	626.17	626.17	626.17	0.32	200.47	626.17
2016-10-19 14:08:00	626.96	626.96	626.08	626.08	0.2	125.61	626.3
2016-10-19 14:09:00	626.23	626.23	626.23	626.23	1.01	631.24	626.23
2016-10-19 14:10:00	626.23	626.7	625.02	626.61	6.24	3903.53	625.44
2016-10-19 14:11:00	626.58	626.58	626.5	626.5	1.1	690.09	626.52
2016-10-19 14:12:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:13:00	625.11	625.11	625.11	625.11	0.18	113.23	625.11
2016-10-19 14:14:00	625.13	625.13	625.13	625.13	0.24	150.3	625.13
2016-10-19 14:15:00	625.16	625.16	625.15	625.15	2.82	1760.86	625.15
2016-10-19 14:16:00	624.8	624.8	624.8	624.8	0.04	24.99	624.8
2016-10-19 14:17:00	624.8	624.8	624.6	624.6	22.85	14270.76	624.62
2016-10-19 14:18:00	625.15	625.15	625.15	625.15	0.07	45.7	625.15
2016-10-19 14:19:00	625.14	625.15	625.14	625.15	0.11	69.41	625.15
2016-10-19 14:20:00	625.15	625.15	625.14	625.15	3.55	2218.89	625.15
2016-10-19 14:21:00	625.16	625.16	625.16	625.16	0.52	325.24	625.16
2016-10-19 14:22:00	625.68	625.68	625.15	625.15	0.52	325.34	625.66
2016-10-19 14:23:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-19 14:24:00	625.15	625.15	625.15	625.15	0.3	185.38	625.15
2016-10-19 14:25:00	625.14	625.14	624.22	624.22	5.42	3381.61	624.34
2016-10-19 14:26:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
